RS158	WCS134	WCS317	WCS417	CHA0	WCS358
OG0002271	FBBKCKAA_02736	KMPKMMIG_05589	ODAKOFOI_05368	NLBLAPBN_01801	AGNHPPFD_01798	JLCECJFP_03268
OG0002272	FBBKCKAA_05081	KMPKMMIG_05585	ODAKOFOI_05372	NLBLAPBN_01806	AGNHPPFD_01801	JLCECJFP_04622
OG0002273	FBBKCKAA_04379	KMPKMMIG_05265	ODAKOFOI_04885	NLBLAPBN_01825	AGNHPPFD_01811	JLCECJFP_04121
OG0002274	FBBKCKAA_04065	KMPKMMIG_05254	ODAKOFOI_04896	NLBLAPBN_03241	AGNHPPFD_01822	JLCECJFP_04111
OG0002275	FBBKCKAA_04077	KMPKMMIG_04921	ODAKOFOI_04912	NLBLAPBN_04255	AGNHPPFD_01837	JLCECJFP_04100
OG0002276	FBBKCKAA_04082	KMPKMMIG_04916	ODAKOFOI_04917	NLBLAPBN_04250	AGNHPPFD_01842	JLCECJFP_04095
OG0002277	FBBKCKAA_04086	KMPKMMIG_04911	ODAKOFOI_04922	NLBLAPBN_04246	AGNHPPFD_01846	JLCECJFP_04091
OG0002278	FBBKCKAA_04087	KMPKMMIG_04910	ODAKOFOI_04923	NLBLAPBN_04245	AGNHPPFD_01847	JLCECJFP_04089
OG0002279	FBBKCKAA_04089	KMPKMMIG_04908	ODAKOFOI_04925	NLBLAPBN_04243	AGNHPPFD_01849	JLCECJFP_04087
OG0002280	FBBKCKAA_04090	KMPKMMIG_04907	ODAKOFOI_04926	NLBLAPBN_04242	AGNHPPFD_01850	JLCECJFP_04086
OG0002281	FBBKCKAA_02113	KMPKMMIG_01884	ODAKOFOI_05143	NLBLAPBN_04222	AGNHPPFD_01865	JLCECJFP_03419
OG0002282	FBBKCKAA_02112	KMPKMMIG_01883	ODAKOFOI_05144	NLBLAPBN_04221	AGNHPPFD_01866	JLCECJFP_03420
OG0002283	FBBKCKAA_02111	KMPKMMIG_01882	ODAKOFOI_05145	NLBLAPBN_04220	AGNHPPFD_01867	JLCECJFP_03421
OG0002284	FBBKCKAA_02110	KMPKMMIG_01881	ODAKOFOI_05146	NLBLAPBN_04219	AGNHPPFD_01868	JLCECJFP_03422
OG0002285	FBBKCKAA_02109	KMPKMMIG_01880	ODAKOFOI_05147	NLBLAPBN_04218	AGNHPPFD_01869	JLCECJFP_03423
OG0002286	FBBKCKAA_02108	KMPKMMIG_01879	ODAKOFOI_05148	NLBLAPBN_04217	AGNHPPFD_01870	JLCECJFP_03424
OG0002287	FBBKCKAA_02761	KMPKMMIG_05082	ODAKOFOI_02597	NLBLAPBN_04215	AGNHPPFD_01872	JLCECJFP_04587
OG0002288	FBBKCKAA_04897	KMPKMMIG_05071	ODAKOFOI_02586	NLBLAPBN_04204	AGNHPPFD_01884	JLCECJFP_04593
OG0002289	FBBKCKAA_03767	KMPKMMIG_01732	ODAKOFOI_02130	NLBLAPBN_04185	AGNHPPFD_01898	JLCECJFP_00817
OG0002290	FBBKCKAA_03766	KMPKMMIG_01733	ODAKOFOI_02131	NLBLAPBN_04184	AGNHPPFD_01899	JLCECJFP_00818
OG0002291	FBBKCKAA_03765	KMPKMMIG_01734	ODAKOFOI_02132	NLBLAPBN_04183	AGNHPPFD_01900	JLCECJFP_00819
OG0002292	FBBKCKAA_03764	KMPKMMIG_01735	ODAKOFOI_02133	NLBLAPBN_04182	AGNHPPFD_01901	JLCECJFP_00820
OG0002293	FBBKCKAA_02229	KMPKMMIG_01746	ODAKOFOI_02141	NLBLAPBN_04168	AGNHPPFD_01911	JLCECJFP_01478
OG0002294	FBBKCKAA_02231	KMPKMMIG_01748	ODAKOFOI_02143	NLBLAPBN_04166	AGNHPPFD_01913	JLCECJFP_01476
OG0002295	FBBKCKAA_02232	KMPKMMIG_01749	ODAKOFOI_02144	NLBLAPBN_04165	AGNHPPFD_01914	JLCECJFP_01475
OG0002296	FBBKCKAA_02233	KMPKMMIG_01750	ODAKOFOI_02145	NLBLAPBN_04164	AGNHPPFD_01915	JLCECJFP_01474
OG0002297	FBBKCKAA_02234	KMPKMMIG_01751	ODAKOFOI_02146	NLBLAPBN_04163	AGNHPPFD_01916	JLCECJFP_01473
OG0002298	FBBKCKAA_02235	KMPKMMIG_01752	ODAKOFOI_02147	NLBLAPBN_04162	AGNHPPFD_01917	JLCECJFP_01472
OG0002299	FBBKCKAA_02244	KMPKMMIG_01765	ODAKOFOI_02184	NLBLAPBN_04149	AGNHPPFD_01929	JLCECJFP_01462
OG0002300	FBBKCKAA_04579	KMPKMMIG_01770	ODAKOFOI_02189	NLBLAPBN_04144	AGNHPPFD_01936	JLCECJFP_03389
OG0002301	FBBKCKAA_04535	KMPKMMIG_01771	ODAKOFOI_02190	NLBLAPBN_04143	AGNHPPFD_01937	JLCECJFP_03390
OG0002302	FBBKCKAA_04536	KMPKMMIG_01772	ODAKOFOI_02191	NLBLAPBN_04142	AGNHPPFD_01938	JLCECJFP_03391
OG0002303	FBBKCKAA_04537	KMPKMMIG_01773	ODAKOFOI_02192	NLBLAPBN_04141	AGNHPPFD_01939	JLCECJFP_03392
OG0002304	FBBKCKAA_04553	KMPKMMIG_01788	ODAKOFOI_02210	NLBLAPBN_04120	AGNHPPFD_01962	JLCECJFP_04778
OG0002305	FBBKCKAA_04554	KMPKMMIG_01789	ODAKOFOI_02211	NLBLAPBN_04119	AGNHPPFD_01963	JLCECJFP_04777
OG0002306	FBBKCKAA_02169	KMPKMMIG_01791	ODAKOFOI_02213	NLBLAPBN_04117	AGNHPPFD_01965	JLCECJFP_04775
OG0002307	FBBKCKAA_02159	KMPKMMIG_01804	ODAKOFOI_02225	NLBLAPBN_04105	AGNHPPFD_01975	JLCECJFP_04765
OG0002308	FBBKCKAA_02257	KMPKMMIG_05787	ODAKOFOI_02226	NLBLAPBN_04104	AGNHPPFD_01976	JLCECJFP_01449
OG0002309	FBBKCKAA_04486	KMPKMMIG_01891	ODAKOFOI_02230	NLBLAPBN_01496	AGNHPPFD_01997	JLCECJFP_01446
OG0002310	FBBKCKAA_04488	KMPKMMIG_01894	ODAKOFOI_02233	NLBLAPBN_01499	AGNHPPFD_02000	JLCECJFP_01444
OG0002311	FBBKCKAA_04506	KMPKMMIG_01899	ODAKOFOI_02238	NLBLAPBN_01504	AGNHPPFD_02005	JLCECJFP_01426
OG0002312	FBBKCKAA_04508	KMPKMMIG_01901	ODAKOFOI_02240	NLBLAPBN_01506	AGNHPPFD_02008	JLCECJFP_01424
OG0002313	FBBKCKAA_04509	KMPKMMIG_01902	ODAKOFOI_02241	NLBLAPBN_01507	AGNHPPFD_02009	JLCECJFP_01423
OG0002314	FBBKCKAA_02612	KMPKMMIG_01904	ODAKOFOI_02243	NLBLAPBN_01509	AGNHPPFD_02011	JLCECJFP_01421
OG0002315	FBBKCKAA_02613	KMPKMMIG_01905	ODAKOFOI_02244	NLBLAPBN_01510	AGNHPPFD_02015	JLCECJFP_01420
OG0002316	FBBKCKAA_02614	KMPKMMIG_01906	ODAKOFOI_02245	NLBLAPBN_01511	AGNHPPFD_02016	JLCECJFP_01419
OG0002317	FBBKCKAA_02615	KMPKMMIG_01907	ODAKOFOI_02246	NLBLAPBN_01512	AGNHPPFD_02017	JLCECJFP_01418
OG0002318	FBBKCKAA_02620	KMPKMMIG_01913	ODAKOFOI_02251	NLBLAPBN_01516	AGNHPPFD_02021	JLCECJFP_01413
OG0002319	FBBKCKAA_02622	KMPKMMIG_01915	ODAKOFOI_02253	NLBLAPBN_01518	AGNHPPFD_02023	JLCECJFP_01411
OG0002320	FBBKCKAA_02624	KMPKMMIG_01918	ODAKOFOI_02255	NLBLAPBN_01520	AGNHPPFD_02026	JLCECJFP_01409
OG0002321	FBBKCKAA_02626	KMPKMMIG_01920	ODAKOFOI_02257	NLBLAPBN_01522	AGNHPPFD_02028	JLCECJFP_01407
OG0002322	FBBKCKAA_02629	KMPKMMIG_01923	ODAKOFOI_02260	NLBLAPBN_01525	AGNHPPFD_02031	JLCECJFP_01404
OG0002323	FBBKCKAA_02633	KMPKMMIG_01928	ODAKOFOI_02265	NLBLAPBN_01530	AGNHPPFD_02036	JLCECJFP_01399
OG0002324	FBBKCKAA_02637	KMPKMMIG_01932	ODAKOFOI_02269	NLBLAPBN_01534	AGNHPPFD_02040	JLCECJFP_01395
OG0002325	FBBKCKAA_02638	KMPKMMIG_01933	ODAKOFOI_02270	NLBLAPBN_01535	AGNHPPFD_02041	JLCECJFP_01394
OG0002326	FBBKCKAA_04106	KMPKMMIG_04179	ODAKOFOI_02360	NLBLAPBN_03700	AGNHPPFD_02121	JLCECJFP_05006
OG0002327	FBBKCKAA_04107	KMPKMMIG_04180	ODAKOFOI_02361	NLBLAPBN_03699	AGNHPPFD_02122	JLCECJFP_05005
OG0002328	FBBKCKAA_04108	KMPKMMIG_04181	ODAKOFOI_02362	NLBLAPBN_03780	AGNHPPFD_02123	JLCECJFP_05004
OG0002329	FBBKCKAA_04110	KMPKMMIG_04186	ODAKOFOI_05315	NLBLAPBN_03694	AGNHPPFD_02125	JLCECJFP_05002
OG0002330	FBBKCKAA_04115	KMPKMMIG_04191	ODAKOFOI_05310	NLBLAPBN_03689	AGNHPPFD_02130	JLCECJFP_04997
OG0002331	FBBKCKAA_04934	KMPKMMIG_04197	ODAKOFOI_05304	NLBLAPBN_03683	AGNHPPFD_02137	JLCECJFP_04991
OG0002332	FBBKCKAA_04938	KMPKMMIG_04201	ODAKOFOI_05300	NLBLAPBN_03679	AGNHPPFD_02141	JLCECJFP_04987
OG0002333	FBBKCKAA_00668	KMPKMMIG_04014	ODAKOFOI_00014	NLBLAPBN_03654	AGNHPPFD_02163	JLCECJFP_01670
OG0002334	FBBKCKAA_00669	KMPKMMIG_04015	ODAKOFOI_00015	NLBLAPBN_03653	AGNHPPFD_02164	JLCECJFP_01671
OG0002335	FBBKCKAA_00670	KMPKMMIG_04016	ODAKOFOI_00016	NLBLAPBN_03652	AGNHPPFD_02165	JLCECJFP_01672
OG0002336	FBBKCKAA_02278	KMPKMMIG_04541	ODAKOFOI_01824	NLBLAPBN_03231	AGNHPPFD_02237	JLCECJFP_04632
OG0002337	FBBKCKAA_00718	KMPKMMIG_04281	ODAKOFOI_00149	NLBLAPBN_03088	AGNHPPFD_02309	JLCECJFP_00346
OG0002338	FBBKCKAA_00992	KMPKMMIG_04257	ODAKOFOI_00170	NLBLAPBN_02086	AGNHPPFD_02400	JLCECJFP_03822
OG0002339	FBBKCKAA_04993	KMPKMMIG_04244	ODAKOFOI_00224	NLBLAPBN_02561	AGNHPPFD_02518	JLCECJFP_03364
OG0002340	FBBKCKAA_04170	KMPKMMIG_04749	ODAKOFOI_00189	NLBLAPBN_02553	AGNHPPFD_02759	JLCECJFP_01858
OG0002341	FBBKCKAA_00624	KMPKMMIG_03939	ODAKOFOI_01827	NLBLAPBN_01899	AGNHPPFD_02562	JLCECJFP_00884
OG0002342	FBBKCKAA_02973	KMPKMMIG_04822	ODAKOFOI_00758	NLBLAPBN_03487	AGNHPPFD_02609	JLCECJFP_01078
OG0002343	FBBKCKAA_01620	KMPKMMIG_04825	ODAKOFOI_00761	NLBLAPBN_03484	AGNHPPFD_02612	JLCECJFP_01251
OG0002344	FBBKCKAA_04804	KMPKMMIG_02373	ODAKOFOI_00255	NLBLAPBN_03340	AGNHPPFD_02695	JLCECJFP_04241
OG0002345	FBBKCKAA_01299	KMPKMMIG_04320	ODAKOFOI_00804	NLBLAPBN_02982	AGNHPPFD_02709	JLCECJFP_02397
OG0002346	FBBKCKAA_05002	KMPKMMIG_04338	ODAKOFOI_00805	NLBLAPBN_02981	AGNHPPFD_02710	JLCECJFP_03355
OG0002347	FBBKCKAA_02658	KMPKMMIG_04350	ODAKOFOI_00812	NLBLAPBN_02971	AGNHPPFD_02720	JLCECJFP_04280
OG0002348	FBBKCKAA_04124	KMPKMMIG_05164	ODAKOFOI_00844	NLBLAPBN_02422	AGNHPPFD_03346	JLCECJFP_00707
OG0002349	FBBKCKAA_04126	KMPKMMIG_05166	ODAKOFOI_00846	NLBLAPBN_02424	AGNHPPFD_03344	JLCECJFP_00709
OG0002350	FBBKCKAA_04129	KMPKMMIG_05169	ODAKOFOI_00849	NLBLAPBN_02427	AGNHPPFD_03341	JLCECJFP_00712
OG0002351	FBBKCKAA_02177	KMPKMMIG_03272	ODAKOFOI_05085	NLBLAPBN_02455	AGNHPPFD_03330	JLCECJFP_01511
OG0002352	FBBKCKAA_02179	KMPKMMIG_03270	ODAKOFOI_05083	NLBLAPBN_02457	AGNHPPFD_03328	JLCECJFP_01509
OG0002353	FBBKCKAA_02181	KMPKMMIG_03268	ODAKOFOI_05081	NLBLAPBN_02459	AGNHPPFD_03326	JLCECJFP_01507
OG0002354	FBBKCKAA_02182	KMPKMMIG_03267	ODAKOFOI_05080	NLBLAPBN_02460	AGNHPPFD_03325	JLCECJFP_01506
OG0002355	FBBKCKAA_02184	KMPKMMIG_05771	ODAKOFOI_05078	NLBLAPBN_03009	AGNHPPFD_03322	JLCECJFP_01504
OG0002356	FBBKCKAA_02185	KMPKMMIG_05772	ODAKOFOI_05077	NLBLAPBN_03008	AGNHPPFD_03321	JLCECJFP_01503
OG0002357	FBBKCKAA_02186	KMPKMMIG_04948	ODAKOFOI_05071	NLBLAPBN_03006	AGNHPPFD_03320	JLCECJFP_01502
OG0002358	FBBKCKAA_02190	KMPKMMIG_04942	ODAKOFOI_05064	NLBLAPBN_03001	AGNHPPFD_02809	JLCECJFP_01498
OG0002359	FBBKCKAA_02191	KMPKMMIG_04941	ODAKOFOI_05063	NLBLAPBN_03000	AGNHPPFD_02810	JLCECJFP_01497
OG0002360	FBBKCKAA_02195	KMPKMMIG_04934	ODAKOFOI_05059	NLBLAPBN_02996	AGNHPPFD_02814	JLCECJFP_01493
OG0002361	FBBKCKAA_04192	KMPKMMIG_04652	ODAKOFOI_04028	NLBLAPBN_02529	AGNHPPFD_02922	JLCECJFP_04663
OG0002362	FBBKCKAA_04196	KMPKMMIG_04656	ODAKOFOI_04024	NLBLAPBN_02533	AGNHPPFD_02926	JLCECJFP_04667
OG0002363	FBBKCKAA_03846	KMPKMMIG_04662	ODAKOFOI_04018	NLBLAPBN_02540	AGNHPPFD_02936	JLCECJFP_04417
OG0002364	FBBKCKAA_02801	KMPKMMIG_04664	ODAKOFOI_04016	NLBLAPBN_02542	AGNHPPFD_02938	JLCECJFP_04886
OG0002365	FBBKCKAA_02800	KMPKMMIG_04665	ODAKOFOI_04015	NLBLAPBN_02543	AGNHPPFD_02939	JLCECJFP_04885
OG0002366	FBBKCKAA_02799	KMPKMMIG_04666	ODAKOFOI_04014	NLBLAPBN_02544	AGNHPPFD_02940	JLCECJFP_04884
OG0002367	FBBKCKAA_02794	KMPKMMIG_04774	ODAKOFOI_04002	NLBLAPBN_02878	AGNHPPFD_02950	JLCECJFP_05242
OG0002368	FBBKCKAA_02793	KMPKMMIG_04775	ODAKOFOI_04001	NLBLAPBN_02877	AGNHPPFD_02951	JLCECJFP_05241
OG0002369	FBBKCKAA_02792	KMPKMMIG_04776	ODAKOFOI_04000	NLBLAPBN_02876	AGNHPPFD_02952	JLCECJFP_05240
OG0002370	FBBKCKAA_02791	KMPKMMIG_04777	ODAKOFOI_03999	NLBLAPBN_02875	AGNHPPFD_02953	JLCECJFP_05239
OG0002371	FBBKCKAA_04215	KMPKMMIG_05541	ODAKOFOI_00351	NLBLAPBN_02858	AGNHPPFD_02968	JLCECJFP_01087
OG0002372	FBBKCKAA_02669	KMPKMMIG_05240	ODAKOFOI_00365	NLBLAPBN_02465	AGNHPPFD_03199	JLCECJFP_04270
OG0002373	FBBKCKAA_02784	KMPKMMIG_05230	ODAKOFOI_00370	NLBLAPBN_02471	AGNHPPFD_03191	JLCECJFP_05237
OG0002374	FBBKCKAA_02966	KMPKMMIG_05352	ODAKOFOI_00375	NLBLAPBN_02474	AGNHPPFD_03172	JLCECJFP_02899
OG0002375	FBBKCKAA_02423	KMPKMMIG_05354	ODAKOFOI_00377	NLBLAPBN_02476	AGNHPPFD_03170	JLCECJFP_01135
OG0002376	FBBKCKAA_02425	KMPKMMIG_05356	ODAKOFOI_00379	NLBLAPBN_02478	AGNHPPFD_03168	JLCECJFP_01133
OG0002377	FBBKCKAA_02429	KMPKMMIG_05360	ODAKOFOI_00383	NLBLAPBN_02593	AGNHPPFD_03164	JLCECJFP_01129
OG0002378	FBBKCKAA_02343	KMPKMMIG_05368	ODAKOFOI_00392	NLBLAPBN_02601	AGNHPPFD_03156	JLCECJFP_02889
OG0002379	FBBKCKAA_02341	KMPKMMIG_01520	ODAKOFOI_00394	NLBLAPBN_02603	AGNHPPFD_03154	JLCECJFP_02887
OG0002380	FBBKCKAA_02686	KMPKMMIG_01543	ODAKOFOI_03716	NLBLAPBN_02752	AGNHPPFD_03111	JLCECJFP_04253
OG0002381	FBBKCKAA_02959	KMPKMMIG_01545	ODAKOFOI_03718	NLBLAPBN_02750	AGNHPPFD_03109	JLCECJFP_02273
OG0002382	FBBKCKAA_02263	KMPKMMIG_00905	ODAKOFOI_03837	NLBLAPBN_02201		JLCECJFP_04946
OG0002383		KMPKMMIG_00449, KMPKMMIG_01613, KMPKMMIG_05225		NLBLAPBN_02734, NLBLAPBN_03348	AGNHPPFD_00805	
OG0002384	FBBKCKAA_00889	KMPKMMIG_00337	ODAKOFOI_00424	NLBLAPBN_02756	AGNHPPFD_03286	JLCECJFP_03807
OG0002385	FBBKCKAA_03087	KMPKMMIG_00334	ODAKOFOI_00421	NLBLAPBN_02759	AGNHPPFD_03289	JLCECJFP_01887
OG0002386	FBBKCKAA_03090	KMPKMMIG_00331	ODAKOFOI_00418	NLBLAPBN_02762	AGNHPPFD_03292	JLCECJFP_01884
OG0002387	FBBKCKAA_00599	KMPKMMIG_01532	ODAKOFOI_05417	NLBLAPBN_02612	AGNHPPFD_03304	JLCECJFP_00857
OG0002388	FBBKCKAA_02770	KMPKMMIG_01528	ODAKOFOI_03998	NLBLAPBN_02557	AGNHPPFD_03309	JLCECJFP_02306
OG0002389	FBBKCKAA_00935	KMPKMMIG_02150	ODAKOFOI_00329	NLBLAPBN_02494	AGNHPPFD_02798	JLCECJFP_02671
OG0002390	FBBKCKAA_00936	KMPKMMIG_02151	ODAKOFOI_00328	NLBLAPBN_02493	AGNHPPFD_02797	JLCECJFP_02672
OG0002391	FBBKCKAA_03265	KMPKMMIG_02155	ODAKOFOI_00325	NLBLAPBN_02776	AGNHPPFD_03423	JLCECJFP_04943
OG0002392	FBBKCKAA_02261	KMPKMMIG_02156	ODAKOFOI_00324	NLBLAPBN_02777	AGNHPPFD_03424	JLCECJFP_04944
OG0002393	FBBKCKAA_00882	KMPKMMIG_02159	ODAKOFOI_00322	NLBLAPBN_02782	AGNHPPFD_03430	JLCECJFP_03814
OG0002394	FBBKCKAA_03095	KMPKMMIG_02164	ODAKOFOI_00319	NLBLAPBN_02787	AGNHPPFD_03437	JLCECJFP_01879
OG0002395	FBBKCKAA_01192	KMPKMMIG_02177	ODAKOFOI_00308	NLBLAPBN_02800	AGNHPPFD_03451	JLCECJFP_02425
OG0002396	FBBKCKAA_02565	KMPKMMIG_02181	ODAKOFOI_00305	NLBLAPBN_02803	AGNHPPFD_03455	JLCECJFP_03556
OG0002397	FBBKCKAA_01195	KMPKMMIG_02184	ODAKOFOI_00302	NLBLAPBN_02805	AGNHPPFD_03458	JLCECJFP_02422
OG0002398	FBBKCKAA_01196	KMPKMMIG_02185	ODAKOFOI_00301	NLBLAPBN_02806	AGNHPPFD_03459	JLCECJFP_02421
OG0002399	FBBKCKAA_01197	KMPKMMIG_02186	ODAKOFOI_00300	NLBLAPBN_02807	AGNHPPFD_03460	JLCECJFP_02420
OG0002400	FBBKCKAA_02218	KMPKMMIG_04459	ODAKOFOI_04128	NLBLAPBN_01876	AGNHPPFD_04247	JLCECJFP_01487
OG0002401	FBBKCKAA_01869	KMPKMMIG_00344		NLBLAPBN_01815	AGNHPPFD_03598	JLCECJFP_04057
OG0002402	FBBKCKAA_03389	KMPKMMIG_03859	ODAKOFOI_00134, ODAKOFOI_00235	NLBLAPBN_03198		JLCECJFP_04796
OG0002403	FBBKCKAA_03192	KMPKMMIG_02202	ODAKOFOI_00435	NLBLAPBN_02120	AGNHPPFD_03628	JLCECJFP_02774
OG0002404	FBBKCKAA_03193	KMPKMMIG_02205	ODAKOFOI_00433	NLBLAPBN_02419	AGNHPPFD_03629	JLCECJFP_02775
OG0002405	FBBKCKAA_03196	KMPKMMIG_02208	ODAKOFOI_00430	NLBLAPBN_02416	AGNHPPFD_03632	JLCECJFP_02778
OG0002406	FBBKCKAA_03202	KMPKMMIG_02217	ODAKOFOI_03671	NLBLAPBN_02409	AGNHPPFD_03639	JLCECJFP_02781
OG0002407	FBBKCKAA_02967	KMPKMMIG_05756	ODAKOFOI_03659	NLBLAPBN_02454	AGNHPPFD_03712	JLCECJFP_02900
OG0002408	FBBKCKAA_02968	KMPKMMIG_05757	ODAKOFOI_03658	NLBLAPBN_02453	AGNHPPFD_03713	JLCECJFP_02901
OG0002409	FBBKCKAA_02970	KMPKMMIG_05778	ODAKOFOI_03656	NLBLAPBN_02451	AGNHPPFD_03715	JLCECJFP_02903
OG0002410	FBBKCKAA_00914	KMPKMMIG_05810	ODAKOFOI_03655	NLBLAPBN_02450	AGNHPPFD_03716	JLCECJFP_03785
OG0002411	FBBKCKAA_00913	KMPKMMIG_05809	ODAKOFOI_03654	NLBLAPBN_02449	AGNHPPFD_03717	JLCECJFP_03786
OG0002412	FBBKCKAA_00912	KMPKMMIG_05808	ODAKOFOI_03653	NLBLAPBN_02448	AGNHPPFD_03718	JLCECJFP_03787
OG0002413	FBBKCKAA_00911	KMPKMMIG_05807	ODAKOFOI_03652	NLBLAPBN_02447	AGNHPPFD_03719	JLCECJFP_03788
OG0002414	FBBKCKAA_00610	KMPKMMIG_04123	ODAKOFOI_03649	NLBLAPBN_02445	AGNHPPFD_03721	JLCECJFP_00867
OG0002415	FBBKCKAA_00607	KMPKMMIG_04119	ODAKOFOI_03645	NLBLAPBN_02441	AGNHPPFD_03725	JLCECJFP_00864
OG0002416	FBBKCKAA_00605	KMPKMMIG_04118	ODAKOFOI_03644	NLBLAPBN_02440	AGNHPPFD_03726	JLCECJFP_00862
OG0002417	FBBKCKAA_00604	KMPKMMIG_04117	ODAKOFOI_03643	NLBLAPBN_02439	AGNHPPFD_03727	JLCECJFP_00861
OG0002418	FBBKCKAA_01296	KMPKMMIG_04116	ODAKOFOI_03641	NLBLAPBN_02385	AGNHPPFD_03728	JLCECJFP_02400
OG0002419	FBBKCKAA_01297	KMPKMMIG_04115	ODAKOFOI_03640	NLBLAPBN_02384	AGNHPPFD_03729	JLCECJFP_02399
OG0002420	FBBKCKAA_01298	KMPKMMIG_04114	ODAKOFOI_03639	NLBLAPBN_02383	AGNHPPFD_03730	JLCECJFP_02398
OG0002421	FBBKCKAA_00877	KMPKMMIG_02400	ODAKOFOI_01732, ODAKOFOI_03609	NLBLAPBN_03322	AGNHPPFD_03782	JLCECJFP_02221
OG0002422	FBBKCKAA_01316	KMPKMMIG_02407	ODAKOFOI_03605	NLBLAPBN_03237	AGNHPPFD_03803	JLCECJFP_02341
OG0002423	FBBKCKAA_01318	KMPKMMIG_03957	ODAKOFOI_01542	NLBLAPBN_03262	AGNHPPFD_03959	JLCECJFP_02339
OG0002424	FBBKCKAA_01319	KMPKMMIG_03956	ODAKOFOI_01543	NLBLAPBN_03263	AGNHPPFD_03960	JLCECJFP_02338
OG0002425	FBBKCKAA_01320	KMPKMMIG_03955	ODAKOFOI_01544	NLBLAPBN_03264	AGNHPPFD_03961	JLCECJFP_02337
OG0002426	FBBKCKAA_01321	KMPKMMIG_03954	ODAKOFOI_01545	NLBLAPBN_03265	AGNHPPFD_03962	JLCECJFP_02336
OG0002427	FBBKCKAA_01322	KMPKMMIG_03953	ODAKOFOI_01546	NLBLAPBN_03266	AGNHPPFD_03963	JLCECJFP_02335
OG0002428	FBBKCKAA_01323	KMPKMMIG_03952	ODAKOFOI_01547	NLBLAPBN_03267	AGNHPPFD_03964	JLCECJFP_02334
OG0002429	FBBKCKAA_01335	KMPKMMIG_04383	ODAKOFOI_01560	NLBLAPBN_03279	AGNHPPFD_03977	JLCECJFP_02322
OG0002430	FBBKCKAA_04158	KMPKMMIG_04392	ODAKOFOI_01569	NLBLAPBN_03288	AGNHPPFD_03986	JLCECJFP_00733
OG0002431	FBBKCKAA_04224	KMPKMMIG_03708	ODAKOFOI_01606	NLBLAPBN_03370	AGNHPPFD_04018	JLCECJFP_01096
OG0002432	FBBKCKAA_04225	KMPKMMIG_03707	ODAKOFOI_01607	NLBLAPBN_03371	AGNHPPFD_04019	JLCECJFP_01097
OG0002433	FBBKCKAA_01165	KMPKMMIG_05747	ODAKOFOI_01685	NLBLAPBN_03373	AGNHPPFD_04022	JLCECJFP_01840
OG0002434	FBBKCKAA_03844	KMPKMMIG_05749	ODAKOFOI_01687	NLBLAPBN_03375	AGNHPPFD_04024	JLCECJFP_04415
OG0002435	FBBKCKAA_00592	KMPKMMIG_04718	ODAKOFOI_01696	NLBLAPBN_03384	AGNHPPFD_04033	JLCECJFP_00851
OG0002436	FBBKCKAA_04227	KMPKMMIG_04714	ODAKOFOI_01699	NLBLAPBN_03389	AGNHPPFD_04038	JLCECJFP_01099
OG0002437	FBBKCKAA_02175	KMPKMMIG_04999	ODAKOFOI_01725	NLBLAPBN_03407	AGNHPPFD_04059	JLCECJFP_01513
OG0002438	FBBKCKAA_02173	KMPKMMIG_05001	ODAKOFOI_01768	NLBLAPBN_03409	AGNHPPFD_04063	JLCECJFP_01515
OG0002439	FBBKCKAA_02172	KMPKMMIG_05002	ODAKOFOI_01769	NLBLAPBN_03410	AGNHPPFD_04064	JLCECJFP_01516
OG0002440	FBBKCKAA_02171	KMPKMMIG_05003	ODAKOFOI_01770	NLBLAPBN_03414	AGNHPPFD_04068	JLCECJFP_01517
OG0002441	FBBKCKAA_03114	KMPKMMIG_05016	ODAKOFOI_01781	NLBLAPBN_03429	AGNHPPFD_04082	JLCECJFP_01873
OG0002442	FBBKCKAA_00658	KMPKMMIG_05720	ODAKOFOI_01784	NLBLAPBN_03430	AGNHPPFD_04083	JLCECJFP_04552
OG0002443	FBBKCKAA_01182	KMPKMMIG_05714	ODAKOFOI_01790	NLBLAPBN_02067	AGNHPPFD_04089	JLCECJFP_04547
OG0002444	FBBKCKAA_02676	KMPKMMIG_04523	ODAKOFOI_01797	NLBLAPBN_02060	AGNHPPFD_04098	JLCECJFP_04263
OG0002445	FBBKCKAA_00574	KMPKMMIG_05437	ODAKOFOI_03747	NLBLAPBN_02035	AGNHPPFD_04103	JLCECJFP_00834
OG0002446	FBBKCKAA_00573	KMPKMMIG_05438	ODAKOFOI_03748	NLBLAPBN_02034	AGNHPPFD_04104	JLCECJFP_00833
OG0002447	FBBKCKAA_00572	KMPKMMIG_05439	ODAKOFOI_03749	NLBLAPBN_02033	AGNHPPFD_04105	JLCECJFP_00832
OG0002448	FBBKCKAA_01583	KMPKMMIG_01127	ODAKOFOI_01473	NLBLAPBN_00997	AGNHPPFD_01021	JLCECJFP_03168
OG0002449	FBBKCKAA_03871	KMPKMMIG_01311	ODAKOFOI_00728	NLBLAPBN_02547	AGNHPPFD_02499	JLCECJFP_04441
OG0002450	FBBKCKAA_02120	KMPKMMIG_03224	ODAKOFOI_03781	NLBLAPBN_03499	AGNHPPFD_04168	JLCECJFP_03411
OG0002451	FBBKCKAA_02121	KMPKMMIG_03225	ODAKOFOI_03782	NLBLAPBN_03500	AGNHPPFD_04169	JLCECJFP_03410
